      time         0         1         2
  1.036000  0.094270  0.106869  0.235478
  1.037750  0.094708  0.106601  0.235659
  1.039500  0.095149  0.106334  0.235842
  1.041250  0.095592  0.106067  0.236025
  1.043000  0.096038  0.105803  0.236210
  1.044750  0.096487  0.105539  0.236396
  1.046500  0.096938  0.105276  0.236584
  1.048250  0.097393  0.105015  0.236772
  1.050000  0.097850  0.104755  0.236962
  1.051750  0.098310  0.104496  0.237153
  1.053500  0.098773  0.104238  0.237345
  1.055250  0.099238  0.103982  0.237538
  1.057000  0.099707  0.103726  0.237733
  1.058750  0.100178  0.103472  0.237929
  1.060500  0.100653  0.103219  0.238126
  1.062250  0.101130  0.102967  0.238324
  1.064000  0.101610  0.102716  0.238523
  1.065750  0.102093  0.102467  0.238724
  1.067500  0.102579  0.102218  0.238925
  1.069250  0.103069  0.101971  0.239128
  1.071000  0.103561  0.101725  0.239332
  1.072750  0.104056  0.101480  0.239537
  1.074500  0.104554  0.101236  0.239744
  1.076250  0.105055  0.100994  0.239952
  1.078000  0.105560  0.100752  0.240160
  1.079750  0.106067  0.100512  0.240371
  1.081500  0.106578  0.100272  0.240582
  1.083250  0.107091  0.100034  0.240794
  1.085000  0.107608  0.099797  0.241008
  1.086750  0.108128  0.099561  0.241223
  1.088500  0.108652  0.099326  0.241439
  1.090250  0.109178  0.099093  0.241656
  1.092000  0.109708  0.098860  0.241874
  1.093750  0.110241  0.098628  0.242094
  1.095500  0.110777  0.098398  0.242315
  1.097250  0.111317  0.098169  0.242537
  1.099000  0.111859  0.097940  0.242760
  1.100750  0.112405  0.097713  0.242985
  1.102500  0.112955  0.097487  0.243210
  1.104250  0.113508  0.097262  0.243437
  1.106000  0.114064  0.097039  0.243665
  1.107750  0.114624  0.096816  0.243894
  1.109500  0.115187  0.096594  0.244125
  1.111250  0.115754  0.096374  0.244356
  1.113000  0.116324  0.096154  0.244589
  1.114750  0.116897  0.095936  0.244823
  1.116500  0.117474  0.095718  0.245058
  1.118250  0.118055  0.095502  0.245295
  1.120000  0.118639  0.095287  0.245532
  1.121750  0.119227  0.095072  0.245771
  1.123500  0.119818  0.094859  0.246011
  1.125250  0.120413  0.094647  0.246253
  1.127000  0.121012  0.094436  0.246495
  1.128750  0.121614  0.094226  0.246739
  1.130500  0.122220  0.094017  0.246984
  1.132250  0.122829  0.093809  0.247230
  1.134000  0.123443  0.093603  0.247477
  1.135750  0.124060  0.093397  0.247726
  1.137500  0.124681  0.093192  0.247975
  1.139250  0.125306  0.092988  0.248226
  1.141000  0.125934  0.092786  0.248478
  1.142750  0.126567  0.092584  0.248732
  1.144500  0.127203  0.092384  0.248986
  1.146250  0.127843  0.092184  0.249242
  1.148000  0.128487  0.091986  0.249499
  1.149750  0.129135  0.091788  0.249758
